age,female,"bs(age, df=5, degree=2, include_intercept=False)[0]","bs(age, df=5, degree=2, include_intercept=False)[1]","bs(age, df=5, degree=2, include_intercept=False)[2]","bs(age, df=5, degree=2, include_intercept=False)[3]","bs(age, df=5, degree=2, include_intercept=False)[4]","bs(age, df=5, degree=2, include_intercept=False)[0]:female","bs(age, df=5, degree=2, include_intercept=False)[1]:female","bs(age, df=5, degree=2, include_intercept=False)[2]:female","bs(age, df=5, degree=2, include_intercept=False)[3]:female","bs(age, df=5, degree=2, include_intercept=False)[4]:female"
45.917,1,0.0,0.4475321991541621,0.5516575040495234,0.0008102967963144513,0.0,0.0,0.4475321991541621,0.5516575040495234,0.0008102967963144513,0.0
46.0,0,0.0,0.44290657439445424,0.5561291054512543,0.0009643201542915537,0.0,0.0,0.0,0.0,0.0,0.0
46.0,1,0.0,0.44290657439445424,0.5561291054512543,0.0009643201542915537,0.0,0.0,0.44290657439445424,0.5561291054512543,0.0009643201542915537,0.0
46.083,0,0.0,0.43830497885427727,0.5605632842979777,0.0011317368477449237,0.0,0.0,0.0,0.0,0.0,0.0
46.083,1,0.0,0.43830497885427727,0.5605632842979777,0.0011317368477449237,0.0,0.0,0.43830497885427727,0.5605632842979777,0.0011317368477449237,0.0
46.167,0,0.0,0.4337274125336313,0.5649600405896941,0.001312546876674561,0.0,0.0,0.0,0.0,0.0,0.0
46.167,1,0.0,0.4337274125336313,0.5649600405896941,0.001312546876674561,0.0,0.0,0.4337274125336313,0.5649600405896941,0.001312546876674561,0.0
46.25,0,0.0,0.4291738754325163,0.5693193743264032,0.0015067502410804668,0.0,0.0,0.0,0.0,0.0,0.0
46.25,1,0.0,0.4291738754325163,0.5693193743264032,0.0015067502410804668,0.0,0.0,0.4291738754325163,0.5693193743264032,0.0015067502410804668,0.0
46.333,0,0.0,0.4246443675509322,0.5736412855081052,0.0017143469409626401,0.0,0.0,0.0,0.0,0.0,0.0
46.333,1,0.0,0.4246443675509322,0.5736412855081052,0.0017143469409626401,0.0,0.0,0.4246443675509322,0.5736412855081052,0.0017143469409626401,0.0
46.417,0,0.0,0.42013888888887907,0.5779257741347998,0.0019353369763210812,0.0,0.0,0.0,0.0,0.0,0.0
46.417,1,0.0,0.42013888888887907,0.5779257741347998,0.0019353369763210812,0.0,0.0,0.42013888888887907,0.5779257741347998,0.0019353369763210812,0.0
46.5,0,0.0,0.41565743944635686,0.5821728402064873,0.0021697203471557898,0.0,0.0,0.0,0.0,0.0,0.0
46.5,1,0.0,0.41565743944635686,0.5821728402064873,0.0021697203471557898,0.0,0.0,0.41565743944635686,0.5821728402064873,0.0021697203471557898,0.0
46.583,0,0.0,0.41120001922336563,0.5863824837231676,0.0024174970534667664,0.0,0.0,0.0,0.0,0.0,0.0
